id,user1_id,user2_id
2,74553,410490
3,243220,333787
4,103004,483265
5,49222,334057
6,278028,469799
7,436484,476270
8,432157,473197
9,498000,194293
10,28542,256324
11,360412,442948
12,37434,37246
13,379153,189640
14,527094,286021
15,248383,547019
16,82694,9935
17,54244,228336
18,377428,326867
19,393944,42527
20,219920,487879
21,396948,14758
22,119013,63198
23,352608,412504
24,127887,277238
25,57539,84324
26,515319,215863
27,553007,477343
28,286784,292769
29,535220,251955
30,196477,37509
31,529106,329654
32,396432,483300
33,249322,582164
34,94066,27552
35,291661,278662
36,534010,222691
37,108000,572968
38,539108,212663
39,432292,454001
40,197619,124304
41,280049,575581
42,524266,175176
43,355801,573073
44,269358,565244
45,60946,253669
46,3402,575518
47,483246,541321
48,201934,317867
49,132287,52978
50,562004,350554
51,533607,545514
52,427911,393566
53,9007,168415
54,336142,513666
55,19503,141793
56,75682,189868
57,141728,456817
58,222851,502134
59,435967,435832
60,96020,206585
61,332308,219604
62,454356,532469
63,63012,305909
64,443401,550910
65,318246,86559
66,231998,2506
67,165202,255191
68,431213,500243
69,295051,35578
70,140615,579134
71,575065,129619
72,131779,581243
73,562729,353829
74,39466,265187
75,322171,9827
76,474817,371819
77,466601,311826
78,415758,342042
79,34919,147318
80,160576,68234
81,157090,557455
82,433721,420687
83,351450,159637
84,411025,263741
85,525154,394703
86,252805,475540
87,331099,406664
88,27766,339523
89,505216,337743
90,458779,450693
91,44278,524151
92,270458,106803
93,116873,477776
94,349617,325300
95,22610,116746
96,432135,408499
97,15286,302876
98,291078,287363
99,154248,209371
100,565395,379849
101,68677,74965
102,69805,347564
103,538001,386226
104,246058,89434
105,407419,339917
106,237622,295469
107,275915,420435
108,385514,364093
109,382283,43971
110,478351,452207
111,485415,118414
112,393900,424329
113,476373,429689
114,480482,383312
115,342137,523119
116,476401,446513
117,137262,18400
118,410802,142182
119,13796,243483
120,45649,100891
121,425352,113987
122,431635,16519
123,425731,444775
124,369021,109234
125,231200,317769
126,456465,134729
127,532599,539491
128,469261,512444
129,158160,324333
130,375879,85574
131,526699,342201
132,150507,217459
133,49473,520115
134,25541,539696
135,287235,135061
136,264213,284420
137,193024,425667
138,177283,274229
139,79012,276909
140,437634,131826
141,345342,563876
142,379003,322966
143,214532,250636
144,216780,170096
145,518467,500004
146,266345,478963
147,71374,71816
148,82037,3446
149,170258,83678
150,314239,318491
151,408269,83876
152,489944,54129
153,359445,128864
154,42149,442922
155,333032,120624
156,497565,16220
157,395732,65316
158,48815,230598
159,562007,116486
160,141499,308125
161,386685,300258
162,359789,549143
163,479046,266289
164,199889,384275
165,445931,170714
166,208083,256894
167,399223,125589
168,118470,322181
169,100988,222032
170,555827,31629
171,360694,256354
172,512938,309839
173,61849,562782
174,149719,340564
175,307324,310381
176,360990,208674
177,315944,522466
178,213089,173208
179,518987,249215
180,86863,5479
181,493758,196163
182,319384,58111
183,8708,28590
184,199126,265035
185,251126,170576
186,120047,68871
187,334622,356803
188,153713,330192
189,15194,342781
190,348005,520113
191,173671,29825
192,224737,4117
193,249807,436446
194,49357,87924
195,77872,172216
196,472200,217051
197,468644,366708
198,363449,365432
199,231124,494544
200,269011,418584
201,263096,416613
202,39927,208864
203,81731,170098
204,324493,556195
205,145767,515302
206,477476,400382
207,583613,42059
208,337059,383042
